Strain	Admin Division	Originating Lab	Submitting Lab	gisaid_epi_isl	url	Country	Region	Host	Submission Date	Location	Clade	Collection Data	Author	Exposure History	genbank_accession
Italy/INMI1-cs/2020	Lazio	INMI Lazzaro Spallanzani IRCCS	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	EPI_ISL_410546		Italy	Europe	Human	Older	Rome	A1a	2020-01-29	Capobianchi et al	Hubei	
Italy/SPL1/2020	Lazio	Department of Infectious Diseases, Istituto Superiore di Sanita, Rome, Italy	Virology Laboratory, Scientific Department, Army Medical Center	EPI_ISL_412974		Italy	Europe	Human	One month ago	Rome	A1a	2020-01-29	Stefanelli et al		
USA/NY-NYUMC1/2020	New York	NYU Langone Health	Departments of Pathology and Medicine, New York University School of Medicine	EPI_ISL_414639		USA	North America	Human	3-7 days ago	Nassau County	A1a	2020-03-04	Chen et al		
Scotland/CVR07/2020	Scotland	West of Scotland Specialist Virology Centre, NHSGGC	MRC-University of Glasgow Centre for Virus Research	EPI_ISL_415630		United Kingdom	Europe	Human	3-7 days ago		A1a	2020-03-09	Smollett et al		
England/09c/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_412116		United Kingdom	Europe	Human	One month ago		A1a	2020-02-09	Galiano et al	Hubei	
Brazil/ES-225/2020	Espirito Santo	LACEN/ES - Laboratorio Central de Saude Publica do Espirito Santo	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	EPI_ISL_415128		Brazil	South America	Human	3-7 days ago	Vila Velha	A1a	2020-02-29	Resende et al		
England/20100001406/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_415132		United Kingdom	Europe	Human	3-7 days ago		A1a	2020-02-28	Galiano et al		
England/20102068506/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_415149		United Kingdom	Europe	Human	3-7 days ago		A1a	2020-03-01	Galiano et al		
Netherlands/NA_21/2020	Netherlands	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415478		Netherlands	Europe	Human	3-7 days ago		A1a	2020-03-08	Nieuwenhuijse et al		
Canada/BC_78548/2020	British Columbia	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	EPI_ISL_415590		Canada	North America	Human	3-7 days ago		A1a	2020-03-05	Harrigan et al	Europe	
England/200940527/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_414005		United Kingdom	Europe	Human	One week ago		A1a	2020-02-25	Galiano et al		
England/200990725/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_414007		United Kingdom	Europe	Human	One week ago		A1a	2020-02-28	Galiano et al		
England/200990724/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_414006		United Kingdom	Europe	Human	One week ago		A1a	2020-02-28	Galiano et al		
Switzerland/1000477102/2020	Zurich	Department of Internal Medicine, Triemli Hospital	Institute of Medical Virology, University of Zurich	EPI_ISL_413019		Switzerland	Europe	Human	One month ago		A1a	2020-02-26	Schmutz et al	North Brabant	
Netherlands/NoordBrabant_5/2020	North Brabant	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_414430		Netherlands	Europe	Human	One week ago		A1a	2020-03-05	Nieuwenhuijse et al		
Netherlands/NA_35/2020	Netherlands	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415492		Netherlands	Europe	Human	3-7 days ago		A1a	2020-03-10	Nieuwenhuijse et al		
Netherlands/NoordBrabant_56/2020	North Brabant	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415512		Netherlands	Europe	Human	3-7 days ago		A1a	2020-03-09	Nieuwenhuijse et al		
Netherlands/NoordBrabant_23/2020	North Brabant	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_414532		Netherlands	Europe	Human	One week ago		A1a	2020-03-05	Nieuwenhuijse et al		
Netherlands/NoordBrabant_22/2020	North Brabant	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_414531		Netherlands	Europe	Human	One week ago		A1a	2020-03-04	Nieuwenhuijse et al		
Scotland/CVR10/2020	Scotland	West of Scotland Specialist Virology Centre, NHSGGC	MRC-University of Glasgow Centre for Virus Research	EPI_ISL_415631		United Kingdom	Europe	Human	3-7 days ago		A1a	2020-03-10	Smollett et al		
Netherlands/Utrecht_18/2020	Utrecht	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415527		Netherlands	Europe	Human	3-7 days ago		A1a	2020-03-12	Nieuwenhuijse et al		
Netherlands/NA_29/2020	Netherlands	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415486		Netherlands	Europe	Human	3-7 days ago		A1a	2020-03-13	Nieuwenhuijse et al		
Brazil/SPBR-02/2020	Sao Paulo	Hospital Israelita Albert Einstein	Instituto Adolfo Lutz, Interdisciplinary Procedures Center, Strategic Laboratory	EPI_ISL_413016		Brazil	South America	Human	One month ago	Sao Paulo	A1a	2020-02-28	Jaqueline Goes de Jesus et al	Lombardy	MT126808
England/200990006/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_414011		United Kingdom	Europe	Human	One week ago		A1a	2020-02-26	Galiano et al		
Netherlands/NoordBrabant_6/2020	North Brabant	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_414451		Netherlands	Europe	Human	One week ago		A1a	2020-03-06	Nieuwenhuijse et al		
Netherlands/NoordBrabant_25/2020	North Brabant	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_414534		Netherlands	Europe	Human	One week ago		A1a	2020-03-06	Nieuwenhuijse et al		
Netherlands/NA_34/2020	Netherlands	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415491		Netherlands	Europe	Human	3-7 days ago		A1a	2020-03-07	Nieuwenhuijse et al		
England/20100077906/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_415139		United Kingdom	Europe	Human	3-7 days ago		A1a	2020-03-01	Galiano et al		
England/20099079106/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_415130		United Kingdom	Europe	Human	3-7 days ago		A1a	2020-03-01	Galiano et al		
Netherlands/ZuidHolland_8/2020	South Holland	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_414468		Netherlands	Europe	Human	One week ago		A1a	2020-03-06	Nieuwenhuijse et al		
Netherlands/NA_27/2020	Netherlands	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415484		Netherlands	Europe	Human	3-7 days ago		A1a	2020-03-13	Nieuwenhuijse et al		
Netherlands/NA_14/2020	Netherlands	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415470		Netherlands	Europe	Human	3-7 days ago		A1a	2020-03-10	Nieuwenhuijse et al		
Netherlands/NoordBrabant_37/2020	North Brabant	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_414546		Netherlands	Europe	Human	One week ago		A1a	2020-03-06	Nieuwenhuijse et al		
Netherlands/NoordBrabant_20/2020	North Brabant	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_414529		Netherlands	Europe	Human	One week ago		A1a	2020-03-04	Nieuwenhuijse et al		
England/20100122106/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_415142		United Kingdom	Europe	Human	3-7 days ago		A1a	2020-03-02	Galiano et al		
England/20100122107/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_415143		United Kingdom	Europe	Human	3-7 days ago		A1a	2020-03-02	Galiano et al		
Wuhan/IVDC-HB-01/2019	Hubei	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control and Prevention, China CDC	EPI_ISL_402119		China	Asia	Human	Older	Wuhan		2019-12-30	Tan et al		
Wuhan/WIV06/2019	Hubei	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	EPI_ISL_402129		China	Asia	Human	Older	Wuhan		2019-12-30	Zhou et al		MN996530
Wuhan/IPBCAMS-WH-04/2019	Hubei	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	EPI_ISL_403929		China	Asia	Human	Older	Wuhan		2019-12-30	Ren et al		MT019532
Wuhan/WIV04/2019	Hubei	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	EPI_ISL_402124		China	Asia	Human	Older	Wuhan		2019-12-30	Zhou et al		MN996528
Wuhan/WH03/2020	Hubei	General Hospital of Central Theater Command of People's Liberation Army of China	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	EPI_ISL_406800		China	Asia	Human	Older	Wuhan		2020-01-01	Chen et al		LR757996
China/WHU02/2020	Hubei		State Key Laboratory of Virology, Wuhan University	EPI_ISL_406717		China	Asia	Human	Older	Wuhan		2020-01-02	Chen et al		MN988669
Wuhan/IPBCAMS-WH-02/2019	Hubei	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	EPI_ISL_403931		China	Asia	Human	Older	Wuhan		2019-12-30	Ren et al		MT019530
Wuhan/HBCDC-HB-03/2019	Hubei	Wuhan Jinyintan Hospital	Hubei Provincial Center for Disease Control and Prevention	EPI_ISL_412899		China	Asia	Human	One month ago	Wuhan		2019-12-30	Fang et al		
Wuhan-Hu-1/2019	Hubei		National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	EPI_ISL_402125		China	Asia	Human	Older	Wuhan		2019-12-26	Zhang et al		MN908947
China/WHU01/2020	Hubei		State Key Laboratory of Virology, Wuhan University	EPI_ISL_406716		China	Asia	Human	Older	Wuhan		2020-01-02	Chen et al		MN988668
Jiangxi/IVDC-JX-002/2020	Jiangxi	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control & Prevention, CCDC	EPI_ISL_408486		China	Asia	Human	Older	Pingxiang		2020-01-11	Tan et al		
Guangzhou/GZMU0030/2020	Guangdong	State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University	The First Affiliated Hospital of Guangzhou Medical University & BGI-Shenzhen	EPI_ISL_414686		China	Asia	Human	3-7 days ago	Guangzhou		2020-02-27	Zhao et al et al		
China/WH-09/2020	Hubei		Key Laboratory of Human Diseases, Comparative Medicine, Institute of Laboratory Animal Science	EPI_ISL_411957		China	Asia	Human	One month ago	Wuhan		2020-01-08	Linlin et al		MT093631
Jiangsu/JS01/2020	Jiangsu	NHC Key laboratory of Enteric Pathogenic Microbiology, Institute of Pathogenic Microbiology	Jiangsu Provincial Center for Disease Control & Prevention	EPI_ISL_411950		China	Asia	Human	One month ago			2020-01-23	Cui et al		
Guangdong/2020XN4239-P0034/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413888		China	Asia	Human	One week ago			2020-01-30	Lu et al		
China/Shanghai/SH0031	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416340		China	Asia	Human	1-2 days ago			2020-02-02	Wang et al		
Guangdong/20SF014/2020	Guangdong	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention	EPI_ISL_403934		China	Asia	Human	Older	Shenzhen		2020-01-15	Kang et al		
Guangdong/FS-S48-P0047/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413870		China	Asia	Human	One week ago			2020-02-28	Lu et al		
Guangdong/DG-S9-P0045/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413868		China	Asia	Human	One week ago			2020-02-28	Lu et al		
Guangdong/FS-S42-P0046/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413869		China	Asia	Human	One week ago			2020-02-28	Jing Lu et al		
Guangdong/ZH-S33-P0058/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413898		China	Asia	Human	One week ago			2020-02-28	Lu et al		
Guangdong/JM-S1-P0062/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413902		China	Asia	Human	One week ago			2020-02-28	Lu et al		
Guangdong/FS-S50-P0053/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413893		China	Asia	Human	One week ago			2020-02-28	Lu et al		
Guangdong/MM-S1-P0048/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413871		China	Asia	Human	One week ago			2020-02-28	Lu et al		
Hangzhou/ZJU-03/2020	Zhejiang	State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China 310003	State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China 310003	EPI_ISL_416044		China	Asia	Human	1-2 days ago	Hangzhou		2020-01-25	Yao et al		
Singapore/2/2020	Singapore	Singapore General Hospital	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	EPI_ISL_407987		Singapore	Asia	Human	Older	Singapore		2020-01-25	Anderson et al		
Singapore/6/2020	Singapore	Singapore General Hospital, Molecular Laboratory, Division of Pathology	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	EPI_ISL_410537		Singapore	Asia	Human	Older	Singapore		2020-02-09	Anderson et al		
Taiwan/NTU02/2020	Taiwan	Department of Laboratory Medicine, National Taiwan University Hospital	Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine	EPI_ISL_410218		Taiwan	Asia	Human	Older	Taipei		2020-02-05	Yeh et al	Hubei	MT066176
Wales/PHW35/2020	Wales	Wales Specialist Virology Centre	Public Health Wales Microbiology Cardiff	EPI_ISL_416024		United Kingdom	Europe	Human	3-7 days ago			2020-03-11	Moore et al		
Wales/PHW38/2020	Wales	Wales Specialist Virology Centre	Public Health Wales Microbiology Cardiff	EPI_ISL_415538		United Kingdom	Europe	Human	3-7 days ago			2020-03-12	Moore et al		
Singapore/1/2020	Singapore	Singapore General Hospital	National Public Health Laboratory	EPI_ISL_406973		Singapore	Asia	Human	Older	Singapore		2020-01-23	Mak et al	Hubei	
Guangdong/GDFS2020052-P0025/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413875		China	Asia	Human	One week ago			2020-02-10	Lu et al		
Guangdong/GDFS2020054-P0005/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413850		China	Asia	Human	One week ago			2020-02-10	Lu et al		
Cambodia/0012/2020	Sihanoukville	Virology Unit, Institut Pasteur du Cambodge.	Virology Unit, Institut Pasteur du Cambodge (Sequencing done by: Jessica E Manning/Jennifer A Bohl at Malaria and Vector Research Research Laboratory, National Institute of Allergy and Infectious Diseases and Vida Ahyong from Chan-Zuckerberg Biohub)	EPI_ISL_411902		Cambodia	Asia	Human	One month ago			2020-01-27	Karlsson et al	Hubei	
China/Shanghai/SH0038	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416347		China	Asia	Human	1-2 days ago			2020-02-06	Wang et al		
China/Shanghai/SH0083	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416384		China	Asia	Human	1-2 days ago			2020-02-04	Wang et al		
China/Shanghai/SH0101	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416393		China	Asia	Human	1-2 days ago			2020-02-09	Wang et al		
China/Shanghai/SH0077	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416380		China	Asia	Human	1-2 days ago			2020-02-09	Wang et al		
China/Shanghai/SH0044	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416353		China	Asia	Human	1-2 days ago			2020-02-04	Wang et al		
China/Shanghai/SH0102	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416394		China	Asia	Human	1-2 days ago			2020-02-14	Wang et al		
China/Shanghai/SH0027	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416336		China	Asia	Human	1-2 days ago			2020-02-01	Wang et al		
China/Shanghai/SH0067	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416370		China	Asia	Human	1-2 days ago			2020-02-01	Wang et al		
China/Shanghai/SH0076	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416379		China	Asia	Human	1-2 days ago			2020-02-01	Wang et al		
Zhejiang/WZ-02/2020	Zhejiang	Zhejiang Provincial Center for Disease Control and Prevention	Department of Microbiology, Zhejiang Provincial Center for Disease Control and Prevention	EPI_ISL_404228		China	Asia	Human	Older	Hangzhou		2020-01-17	Zhang et al		
Netherlands/ZuidHolland_21/2020	South Holland	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_414563		Netherlands	Europe	Human	One week ago			2020-03-03	Nieuwenhuijse et al		
Netherlands/Utrecht_12/2020	Utrecht	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_414462		Netherlands	Europe	Human	One week ago			2020-03-04	Nieuwenhuijse et al		
Netherlands/ZuidHolland_7/2020	South Holland	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_414467		Netherlands	Europe	Human	One week ago			2020-03-05	Nieuwenhuijse et al		
Hangzhou/HZCDC0001/2020	Zhejiang	Hangzhou Center for Disease Control and Prevention	Hangzhou Center for Disease Control and Prevention	EPI_ISL_407313		China	Asia	Human	Older	Hangzhou		2020-01-19	Li et al	Hubei	
Jiangsu/IVDC-JS-001/2020	Jiangsu	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control & Prevention, CCDC	EPI_ISL_408488		China	Asia	Human	Older	Huaian		2020-01-19	Tan et al		
Jiangsu/JS03/2020	Jiangsu	NHC Key laboratory of Enteric Pathogenic Microbiology, Institute of Pathogenic Microbiology	Jiangsu Provincial Center for Disease Control & Prevention	EPI_ISL_411953		China	Asia	Human	One month ago			2020-01-24	Zhao et al		
Hangzhou/ZJU-05/2020	Zhejiang	State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China. 310003	State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China. 310003	EPI_ISL_415711		China	Asia	Human	3-7 days ago	Hangzhou		2020-01-22	Yao et al		
Japan/NA-20-05-1/2020	Nara	Dept. of Pathology, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	EPI_ISL_410531		Japan	Asia	Human	Older			2020-01-25	Sekizuka et al		
Taiwan/CGMH-CGU-01/2020	Taiwan	Laboratory Medicine	Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan.	EPI_ISL_411915		Taiwan	Asia	Human	One month ago	Taoyuan		2020-01-25	Tsao et al		
USA/CA6/2020	California	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	EPI_ISL_410044		USA	North America	Human	Older			2020-01-27	Zhang et al	Hubei	MT044258
Taiwan/4/2020	Taiwan	Taiwan Centers for Disease Control	Taiwan Centers for Disease Control	EPI_ISL_411927		Taiwan	Asia	Human	One month ago	Taipei		2020-01-28	Yang et al		
England/200690245/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_414041		United Kingdom	Europe	Human	One week ago			2020-02-08	Galiano et al		
England/200690756/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_414044		United Kingdom	Europe	Human	One week ago			2020-02-08	Galiano et al		
England/200690306/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_414043		United Kingdom	Europe	Human	One week ago			2020-02-07	Galiano et al		
Finland/1/2020	Finland	Lapland Central Hospital	Department of Virology, University of Helsinki and Helsinki University Hospital, Helsinki, Finland	EPI_ISL_407079		Finland	Europe	Human	Older	Rovaniemi		2020-01-29	Smura et al	Hubei	MT020781
Zhejiang/WZ-01/2020	Zhejiang	Zhejiang Provincial Center for Disease Control and Prevention	Department of Microbiology, Zhejiang Provincial Center for Disease Control and Prevention	EPI_ISL_404227		China	Asia	Human	Older	Hangzhou		2020-01-16	Chen et al		
Nonthaburi/61/2020	Nonthaburi	Bamrasnaradura Hospital	1. Department of Medical Sciences, Ministry of Public Health, Thailand 2. Thai Red Cross Emerging Infectious Diseases - Health Science Centre 3. Department of Disease Control, Ministry of Public Health, Thailand	EPI_ISL_403962		Thailand	Asia	Human	Older	Bangkok		2020-01-08	Pilailuk et al	Hubei	
Japan/AI/I-004/2020	Aichi	Department of Virology III, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	EPI_ISL_407084		Japan	Asia	Human	Older	Aichi		2020-01-25	Sekizuka et al		LC521925
China/Shanghai/SH0060	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416367		China	Asia	Human	1-2 days ago			2020-02-01	Wang et al		
Guangdong/GD2020080-P0010/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413861		China	Asia	Human	One week ago			2020-02-01	Lu et al		
Shanghai/SH01/2020	Shanghai		Key Laboratory of Medical Molecular Virology (MOE/NHC/CAMS)	EPI_ISL_414510		China	Asia	Human	One week ago			2020-02-02	Zhang et al		MT121215
Guangdong/GD2020258-P0018/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413878		China	Asia	Human	One week ago			2020-02-09	Lu et al		
Guangdong/GD2020134-P0031/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413883		China	Asia	Human	One week ago			2020-02-02	Lu et al		
Guangdong/GD2020115-P0009/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413884		China	Asia	Human	One week ago			2020-02-01	Lu et al		
Nonthaburi/74/2020	Nonthaburi	Bamrasnaradura Hospital	1. Department of Medical Sciences, Ministry of Public Health, Thailand 2. Thai Red Cross Emerging Infectious Diseases - Health Science Centre 3. Department of Disease Control, Ministry of Public Health, Thailand	EPI_ISL_403963		Thailand	Asia	Human	Older	Bangkok		2020-01-13	Pilailuk et al	Hubei	
Netherlands/NoordBrabant_60/2020	North Brabant	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415516		Netherlands	Europe	Human	3-7 days ago			2020-03-11	Nieuwenhuijse et al		
China/Shanghai/SH0110	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416399		China	Asia	Human	1-2 days ago			2020-02-13	Wang et al		
Guangdong/20SF201/2020	Guangdong	Guangdong Provincial Center for Diseases Control and Prevention;Guangdong Provincial Institute of Public Health	Guangdong Provincial Center for Diseases Control and Prevention	EPI_ISL_406538		China	Asia	Human	Older			2020-01-23	Kang et al		
Chongqing/ZX01/2020	Chongqing	Zhongxian Center for Disease Control and Prevention	Chongqing Municipal Center for Disease Control and Prevention	EPI_ISL_408479		China	Asia	Human	Older	Zhongxian		2020-01-23	Sheng et al		
Japan/OS-20-07-1/2020	Osaka	Dept. of Pathology, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	EPI_ISL_410532		Japan	Asia	Human	Older			2020-01-23	Sekizuka et al		
